,Street_One,Street_Two,address,address2,address3,longitude,latitude
42,MISSION ST,PLUM ST,"MISSION ST and PLUM ST , San Francisco, CA","PLUM ST and MISSION ST, San Francisco, CA","PLUM ST , San Francisco, CA",-122.4189285,37.7709524
43,MISSION ST,THE EMBARCADERO,"MISSION ST and THE EMBARCADERO , San Francisco, CA","THE EMBARCADERO and MISSION ST, San Francisco, CA","THE EMBARCADERO , San Francisco, CA",-122.3929257,37.7944319
44,MISSION ST,19TH ST,"MISSION ST and 19TH ST , San Francisco, CA","19TH ST and MISSION ST, San Francisco, CA","19TH ST , San Francisco, CA",-122.3891674,37.7617386
45,MISSION ST,APPLETON AVE,"MISSION ST and APPLETON AVE , San Francisco, CA","APPLETON AVE and MISSION ST, San Francisco, CA","APPLETON AVE , San Francisco, CA",-122.4238381,37.7390714
46,MISSION ST,OCEAN AVE,"MISSION ST and OCEAN AVE , San Francisco, CA","OCEAN AVE and MISSION ST, San Francisco, CA","OCEAN AVE , San Francisco, CA",-122.4357001,37.7238464
47,MISSION ST,GODEUS ST,"MISSION ST and GODEUS ST , San Francisco, CA","GODEUS ST and MISSION ST, San Francisco, CA","GODEUS ST , San Francisco, CA",-122.4205833,37.742375
48,MISSION ST,POPE ST,"MISSION ST and POPE ST , San Francisco, CA","POPE ST and MISSION ST, San Francisco, CA","POPE ST , San Francisco, CA",-122.440604,37.712646
49,MISSION ST,FARRAGUT AVE,"MISSION ST and FARRAGUT AVE , San Francisco, CA","FARRAGUT AVE and MISSION ST, San Francisco, CA","FARRAGUT AVE , San Francisco, CA",-122.450774,37.711118
50,MISSION ST,11TH ST,"MISSION ST and 11TH ST , San Francisco, CA","11TH ST and MISSION ST, San Francisco, CA","11TH ST , San Francisco, CA",-122.4172437,37.7741306
51,MISSION ST,EUGENIA AVE,"MISSION ST and EUGENIA AVE , San Francisco, CA","EUGENIA AVE and MISSION ST, San Francisco, CA","EUGENIA AVE , San Francisco, CA",-122.415787,37.7404125
52,MISSION ST,04TH ST,"MISSION ST and 04TH ST , San Francisco, CA","04TH ST and MISSION ST, San Francisco, CA","04TH ST , San Francisco, CA",-122.403937,37.7841012
53,MISSION ST,FRANCE AVE,"MISSION ST and FRANCE AVE , San Francisco, CA","FRANCE AVE and MISSION ST, San Francisco, CA","FRANCE AVE , San Francisco, CA",-122.43067,37.7164398
54,MISSION ST,LASKIE ST,"MISSION ST and LASKIE ST , San Francisco, CA","LASKIE ST and MISSION ST, San Francisco, CA","LASKIE ST , San Francisco, CA",-122.4144972,37.7770041
55,MISSION ST,29TH ST,"MISSION ST and 29TH ST , San Francisco, CA","29TH ST and MISSION ST, San Francisco, CA","29TH ST , San Francisco, CA",-122.4230028,37.7439285
56,MISSION ST,RUSSIA AVE,"MISSION ST and RUSSIA AVE , San Francisco, CA","RUSSIA AVE and MISSION ST, San Francisco, CA","RUSSIA AVE , San Francisco, CA",-122.4371688,37.7214246
57,MISSION ST,ONONDAGA AVE,"MISSION ST and ONONDAGA AVE , San Francisco, CA","ONONDAGA AVE and MISSION ST, San Francisco, CA","ONONDAGA AVE , San Francisco, CA",-122.4374593,37.7213832
58,MISSION ST,ANNIE ST,"MISSION ST and ANNIE ST , San Francisco, CA","ANNIE ST and MISSION ST, San Francisco, CA","ANNIE ST , San Francisco, CA",-122.401872,37.787285
59,MISSION ST,21ST ST,"MISSION ST and 21ST ST , San Francisco, CA","21ST ST and MISSION ST, San Francisco, CA","21ST ST , San Francisco, CA",-122.4269657,37.7565532
60,MISSION ST,CLARION ALY,"MISSION ST and CLARION ALY , San Francisco, CA","CLARION ALY and MISSION ST, San Francisco, CA","CLARION ALY , San Francisco, CA",-122.4194975,37.7630497
61,MISSION ST,NAGLEE AVE,"MISSION ST and NAGLEE AVE , San Francisco, CA","NAGLEE AVE and MISSION ST, San Francisco, CA","NAGLEE AVE , San Francisco, CA",-122.45086,37.7154607
62,MISSION ST,ADMIRAL AVE,"MISSION ST and ADMIRAL AVE , San Francisco, CA","ADMIRAL AVE and MISSION ST, San Francisco, CA","ADMIRAL AVE , San Francisco, CA",-122.4305516,37.7300815
63,MISSION ST,RICHLAND AVE,"MISSION ST and RICHLAND AVE , San Francisco, CA","RICHLAND AVE and MISSION ST, San Francisco, CA","RICHLAND AVE , San Francisco, CA",-122.4244272,37.7358689
64,MISSION ST,LOWELL ST,"MISSION ST and LOWELL ST , San Francisco, CA","LOWELL ST and MISSION ST, San Francisco, CA","LOWELL ST , San Francisco, CA",-122.4457425,37.7116982
65,MISSION ST,SAN JUAN AVE,"MISSION ST and SAN JUAN AVE , San Francisco, CA","SAN JUAN AVE and MISSION ST, San Francisco, CA","SAN JUAN AVE , San Francisco, CA",-122.4391943,37.7257388
66,MISSION ST,14TH ST,"MISSION ST and 14TH ST , San Francisco, CA","14TH ST and MISSION ST, San Francisco, CA","14TH ST , San Francisco, CA",-122.4199182,37.768477
67,MISSION ST,CONCORD ST,"MISSION ST and CONCORD ST , San Francisco, CA","CONCORD ST and MISSION ST, San Francisco, CA","CONCORD ST , San Francisco, CA",-122.4421722,37.7109444
68,MISSION ST,HIGHLAND AVE,"MISSION ST and HIGHLAND AVE , San Francisco, CA","HIGHLAND AVE and MISSION ST, San Francisco, CA","HIGHLAND AVE , San Francisco, CA",-122.4239502,37.7376291
69,MISSION ST,10TH ST,"MISSION ST and 10TH ST , San Francisco, CA","10TH ST and MISSION ST, San Francisco, CA","10TH ST , San Francisco, CA",-122.4080707,37.7689546
70,MISSION ST,LAWRENCE AVE,"MISSION ST and LAWRENCE AVE , San Francisco, CA","LAWRENCE AVE and MISSION ST, San Francisco, CA","LAWRENCE AVE , San Francisco, CA",-122.4508901,37.7095478
71,MISSION ST,AMAZON AVE,"MISSION ST and AMAZON AVE , San Francisco, CA","AMAZON AVE and MISSION ST, San Francisco, CA","AMAZON AVE , San Francisco, CA",-122.4362182,37.7156974
72,MISSION ST,ECKER ST,"MISSION ST and ECKER ST , San Francisco, CA","ECKER ST and MISSION ST, San Francisco, CA","ECKER ST , San Francisco, CA",-122.3957938,37.7871006
73,MISSION ST,SHAW ALY,"MISSION ST and SHAW ALY , San Francisco, CA","SHAW ALY and MISSION ST, San Francisco, CA","SHAW ALY , San Francisco, CA",-122.397562,37.7881896
74,MISSION ST,AVALON AVE,"MISSION ST and AVALON AVE , San Francisco, CA","AVALON AVE and MISSION ST, San Francisco, CA","AVALON AVE , San Francisco, CA",-122.4242677,37.7247712
75,MISSION ST,FRANCIS ST,"MISSION ST and FRANCIS ST , San Francisco, CA","FRANCIS ST and MISSION ST, San Francisco, CA","FRANCIS ST , San Francisco, CA",-122.4336503,37.7264186
76,MISSION ST,LAFAYETTE ST,"MISSION ST and LAFAYETTE ST , San Francisco, CA","LAFAYETTE ST and MISSION ST, San Francisco, CA","LAFAYETTE ST , San Francisco, CA",-122.4169304,37.7728161
77,MISSION ST,JESSIE WEST ST,"MISSION ST and JESSIE WEST ST , San Francisco, CA","JESSIE WEST ST and MISSION ST, San Francisco, CA","JESSIE WEST ST , San Francisco, CA",-122.4065796,37.783514
78,MISSION ST,COLLEGE AVE,"MISSION ST and COLLEGE AVE , San Francisco, CA","COLLEGE AVE and MISSION ST, San Francisco, CA","COLLEGE AVE , San Francisco, CA",-122.4236359,37.7335909
79,MISSION ST,03RD ST,"MISSION ST and 03RD ST , San Francisco, CA","03RD ST and MISSION ST, San Francisco, CA","03RD ST , San Francisco, CA",-122.402257,37.7865681
80,MISSION ST,HARRINGTON ST,"MISSION ST and HARRINGTON ST , San Francisco, CA","HARRINGTON ST and MISSION ST, San Francisco, CA","HARRINGTON ST , San Francisco, CA",-122.4349466,37.7254214
81,MISSION ST,COLLEGE TER,"MISSION ST and COLLEGE TER , San Francisco, CA","COLLEGE TER and MISSION ST, San Francisco, CA","COLLEGE TER , San Francisco, CA",-122.4259043,37.7343506
82,MISSION ST,VALENCIA ST,"MISSION ST and VALENCIA ST , San Francisco, CA","VALENCIA ST and MISSION ST, San Francisco, CA","VALENCIA ST , San Francisco, CA",-122.4202592,37.7452138
83,MISSION ST,NEY ST,"MISSION ST and NEY ST , San Francisco, CA","NEY ST and MISSION ST, San Francisco, CA","NEY ST , San Francisco, CA",-122.426084,37.730136
84,MISSION ST,12TH ST,"MISSION ST and 12TH ST , San Francisco, CA","12TH ST and MISSION ST, San Francisco, CA","12TH ST , San Francisco, CA",-122.4196758,37.7738924
85,MISSION ST,25TH ST,"MISSION ST and 25TH ST , San Francisco, CA","25TH ST and MISSION ST, San Francisco, CA","25TH ST , San Francisco, CA",-122.4405731,37.7492975
86,MISSION ST,MARY ST,"MISSION ST and MARY ST , San Francisco, CA","MARY ST and MISSION ST, San Francisco, CA","MARY ST , San Francisco, CA",-122.4065943,37.7815809
87,MISSION ST,SPEAR ST,"MISSION ST and SPEAR ST , San Francisco, CA","SPEAR ST and MISSION ST, San Francisco, CA","SPEAR ST , San Francisco, CA",-122.3935994,37.7930534
88,MISSION ST,ROLPH ST,"MISSION ST and ROLPH ST , San Francisco, CA","ROLPH ST and MISSION ST, San Francisco, CA","ROLPH ST , San Francisco, CA",-122.43672,37.7134939
89,MISSION ST,07TH ST,"MISSION ST and 07TH ST , San Francisco, CA","07TH ST and MISSION ST, San Francisco, CA","07TH ST , San Francisco, CA",-122.411167,37.7795093
90,MISSION ST,NORTON ST,"MISSION ST and NORTON ST , San Francisco, CA","NORTON ST and MISSION ST, San Francisco, CA","NORTON ST , San Francisco, CA",-122.4351676,37.7244129
91,MISSION ST,RUTH ST,"MISSION ST and RUTH ST , San Francisco, CA","RUTH ST and MISSION ST, San Francisco, CA","RUTH ST , San Francisco, CA",-122.4363425,37.7228612
92,MISSION ST,BRAZIL AVE,"MISSION ST and BRAZIL AVE , San Francisco, CA","BRAZIL AVE and MISSION ST, San Francisco, CA","BRAZIL AVE , San Francisco, CA",-122.4348082,37.7245322
93,MISSION ST,GUTTENBERG ST,"MISSION ST and GUTTENBERG ST , San Francisco, CA","GUTTENBERG ST and MISSION ST, San Francisco, CA","GUTTENBERG ST , San Francisco, CA",-122.4443255,37.712904
94,MISSION ST,23RD ST,"MISSION ST and 23RD ST , San Francisco, CA","23RD ST and MISSION ST, San Francisco, CA","23RD ST , San Francisco, CA",-122.4121967,37.7542302
95,MISSION ST,RANDALL ST,"MISSION ST and RANDALL ST , San Francisco, CA","RANDALL ST and MISSION ST, San Francisco, CA","RANDALL ST , San Francisco, CA",-122.4238889,37.7398142
96,MISSION ST,PERSIA AVE,"MISSION ST and PERSIA AVE , San Francisco, CA","PERSIA AVE and MISSION ST, San Francisco, CA","PERSIA AVE , San Francisco, CA",-122.4356881,37.7233555
97,MISSION ST,16TH ST,"MISSION ST and 16TH ST , San Francisco, CA","16TH ST and MISSION ST, San Francisco, CA","16TH ST , San Francisco, CA",-122.4197531,37.7648246
98,MISSION ST,YERBA BUENA LN,"MISSION ST and YERBA BUENA LN , San Francisco, CA","YERBA BUENA LN and MISSION ST, San Francisco, CA","YERBA BUENA LN , San Francisco, CA",-122.40403,37.7855328
99,MISSION ST,LAURA ST,"MISSION ST and LAURA ST , San Francisco, CA","LAURA ST and MISSION ST, San Francisco, CA","LAURA ST , San Francisco, CA",-122.451344,37.710671
100,MISSION ST,18TH ST,"MISSION ST and 18TH ST , San Francisco, CA","18TH ST and MISSION ST, San Francisco, CA","18TH ST , San Francisco, CA",-122.4194612,37.7616287
101,MISSION ST,LEO ST,"MISSION ST and LEO ST , San Francisco, CA","LEO ST and MISSION ST, San Francisco, CA","LEO ST , San Francisco, CA",-122.437729,37.7229428
102,MISSION ST,POWERS AVE,"MISSION ST and POWERS AVE , San Francisco, CA","POWERS AVE and MISSION ST, San Francisco, CA","POWERS AVE , San Francisco, CA",-122.419208,37.7465092
103,MISSION ST,SANTA ROSA AVE,"MISSION ST and SANTA ROSA AVE , San Francisco, CA","SANTA ROSA AVE and MISSION ST, San Francisco, CA","SANTA ROSA AVE , San Francisco, CA",-122.4360495,37.7267498
104,MISSION ST,FLORENTINE AVE,"MISSION ST and FLORENTINE AVE , San Francisco, CA","FLORENTINE AVE and MISSION ST, San Francisco, CA","FLORENTINE AVE , San Francisco, CA",-122.4360495,37.7267498
105,MISSION ST,FOOTE AVE,"MISSION ST and FOOTE AVE , San Francisco, CA","FOOTE AVE and MISSION ST, San Francisco, CA","FOOTE AVE , San Francisco, CA",-122.4446435,37.712901
106,MISSION ST,BOSWORTH ST,"MISSION ST and BOSWORTH ST , San Francisco, CA","BOSWORTH ST and MISSION ST, San Francisco, CA","BOSWORTH ST , San Francisco, CA",-122.4268086,37.7334365
107,MISSION ST,EXCELSIOR AVE,"MISSION ST and EXCELSIOR AVE , San Francisco, CA","EXCELSIOR AVE and MISSION ST, San Francisco, CA","EXCELSIOR AVE , San Francisco, CA",-122.4333488,37.7264613
108,MISSION ST,WASHBURN ST,"MISSION ST and WASHBURN ST , San Francisco, CA","WASHBURN ST and MISSION ST, San Francisco, CA","WASHBURN ST , San Francisco, CA",-122.4141965,37.7751365
109,MISSION ST,MORSE ST,"MISSION ST and MORSE ST , San Francisco, CA","MORSE ST and MISSION ST, San Francisco, CA","MORSE ST , San Francisco, CA",-122.4394212,37.713005
110,MISSION ST,ANGELOS ALY,"MISSION ST and ANGELOS ALY , San Francisco, CA","ANGELOS ALY and MISSION ST, San Francisco, CA","ANGELOS ALY , San Francisco, CA",-122.4130651,37.7787184
111,MISSION ST,BROOK ST,"MISSION ST and BROOK ST , San Francisco, CA","BROOK ST and MISSION ST, San Francisco, CA","BROOK ST , San Francisco, CA",-122.4234509,37.740685
112,MISSION ST,09TH ST,"MISSION ST and 09TH ST , San Francisco, CA","09TH ST and MISSION ST, San Francisco, CA","09TH ST , San Francisco, CA",-122.4161901,37.777397
113,MISSION ST,OTTAWA AVE,"MISSION ST and OTTAWA AVE , San Francisco, CA","OTTAWA AVE and MISSION ST, San Francisco, CA","OTTAWA AVE , San Francisco, CA",-122.4469633,37.7161901
114,MISSION ST,NIAGARA AVE,"MISSION ST and NIAGARA AVE , San Francisco, CA","NIAGARA AVE and MISSION ST, San Francisco, CA","NIAGARA AVE , San Francisco, CA",-122.445494,37.718615
115,MISSION ST,ACTON ST,"MISSION ST and ACTON ST , San Francisco, CA","ACTON ST and MISSION ST, San Francisco, CA","ACTON ST , San Francisco, CA",-122.452239,37.7088785
116,MISSION ST,05TH ST,"MISSION ST and 05TH ST , San Francisco, CA","05TH ST and MISSION ST, San Francisco, CA","05TH ST , San Francisco, CA",-122.4067653,37.7828244
117,MISSION ST,24TH ST,"MISSION ST and 24TH ST , San Francisco, CA","24TH ST and MISSION ST, San Francisco, CA","24TH ST , San Francisco, CA",-122.4185234,37.7519667
118,MISSION ST,GRACE ST,"MISSION ST and GRACE ST , San Francisco, CA","GRACE ST and MISSION ST, San Francisco, CA","GRACE ST , San Francisco, CA",-122.415511,37.7756043
